CollegeName,CollegeCode,CourseCode,Category,CutoffRank,Location,Year,Round
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,GM,147111,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,GMK,150705,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,GMR,172094,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,SCG,199729,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,STG,199981,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,1G,46793,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,2AG,45038,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,2AR,66687,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,2BG,76021,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,3AG,39107,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,3BG,50944,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,3BK,90422,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,GM,37604,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,GMK,77705,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,GMR,61528,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,SCG,81416,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,SCR,111081,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,STG,79398,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,CE Civil,STR,131971,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,1G,5251,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,1R,8613,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,2AG,5480,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,2AK,11124,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,2AR,6436,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,2BG,8284,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,3AG,3435,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,3BG,3830,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,GM,1998,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,GMK,6227,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,GMR,3894,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,SCG,24630,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,SCK,47314,Bangalore,2023,Round 1
"B M S College of Engineering  Basavanagudi,Bangalore",E003,EC Electronics,SCR,35545,Bangalore,2023,Round 1
